NL #,natural language,alternative Lnaguage name,birth city,birth state,country,age,gender,onset age,english residence,LOR,learning style,sound file name,ethnologue code,notes,,,
3,bulgarian,,sofia,,bulgaria,27,male,10,usa,10,academic,bulgarian3.mp3,bul,,,,
4,bulgarian,,plovdiv,,bulgaria,22,male,20,usa,2,naturalistic,bulgarian4.mp3,bul,,,,
5,bulgarian,,sofia,,bulgaria,23,male,14,usa,9,academic,bulgarian5.mp3,bul,,,,
1,cantonese,chinese,hong kong,,china,22,female,12,usa,1,academic,cantonese1.mp3,yue,,,,
2,cantonese,chinese,hong kong,,china,20,male,13,usa,0.3,academic,cantonese2.mp3,yue,,,,
3,cantonese,chinese,hong kong,,china,22,male,6,uk,0.1,academic,cantonese3.mp3,yue,"this speaker changes th to t/d, as well as to flap.",,,
4,cantonese,chinese,fuzhou,fujian,china,29,female,13,usa,4,academic,cantonese4.mp3,yue,,,,
5,cantonese,chinese,hong kong,,china,18,male,14,new zealand,0.7,academic,cantonese5.mp3,yue,,,,
1,carolinian,,saipan,saipan,northern mariana islands,32,female,6,usa,10,academic,carolinian1.mp3,cal,,,,
1,catalan,,tarragona,,spain,39,male,13,uk,0.2,academic,catalan1.mp3,cat,,,,
1,chamorro,,saipan,saipan,northern mariana islands,18,male,1,usa,0.2,naturalistic,chamorro1.mp3,cha,,,,
1,czech,,prague,,czech republic,27,female,10.5,usa,1.5,academic,czech1.mp3,ces,,,,
1,danish,,horsens,,denmark,45,female,11,usa,8,academic,danish1.mp3,dan,,,,
2,danish,,haslev,,denmark,37,female,8,usa,4,academic,danish2.mp3,dan,,,,
1,dari,,kabul,zoroastrian,afghanistan,25,female,13,usa,5,academic,dari1.mp3,gbz,,,,
1,dutch,,nijmegen,,netherlands,38,male,13,uk,0.1,academic,dutch1.mp3,nld,,,,
2,dutch,,amsterdam,,netherlands,41,male,14,uk,0.1,academic,dutch2.mp3,nld,,,,
1,ebira,,okene,,nigeria,35,male,3,usa,7,naturalistic,ebira1.mp3,igb,,,,
1,edo,,benin city,,nigeria,25,male,6,usa,4,academic,edo1.mp3,bin,,,,
1,english,,pittsburgh,pennsylvania,usa,42,male,0,usa,41,naturalistic,english1.mp3,eng,,,,
10,english,,davenport,iowa,usa,35,female,0,usa,35,naturalistic,english10.mp3,eng,,,,
100,english,,miami,florida,usa,23,female,0,usa,23,naturalistic,english100.mp3,eng,parents are cuban spanish speakers,,,
101,english,,toronto,ontario,canada,18,female,0,canada,18,naturalistic,english101.mp3,eng,,,,
102,english,,torrington,connecticut,usa,22,male,0,usa,22,naturalistic,english102.mp3,eng,,,,
103,english,,staten island,new york,usa,21,male,0,usa,21,naturalistic,english103.mp3,eng,"richmond, staten island",,,
104,english,,youngstown,ohio,usa,18,female,0,usa,18,naturalistic,english104.mp3,eng,,,,
11,english,,staffordshire,,uk,35,female,0,uk,35,naturalistic,english11.mp3,eng,,,,
12,english,,leicester,,uk,71,female,0,uk,71,naturalistic,english12.mp3,eng,,,,
13,english,,henley on thames,oxfordshire,uk,69,male,0,uk,69,naturalistic,english13.mp3,eng,,,,
14,english,,belfast,northern ireland,uk,40,male,0,"uk,usa",40,naturalistic,english14.mp3,eng,"25 years in ireland, 13 years in the uk, 2 years in usa",,,
15,english,,norton,virginia,usa,7,female,0,usa,7,naturalistic,english15.mp3,eng,,,,
16,english,,wise,virginia,usa,21,male,0,usa,21,naturalistic,english16.mp3,eng,,,,
17,english,,darwin va,virginia,usa,79,male,0,usa,79,naturalistic,english17.mp3,eng,,,,
18,english,,dickenson county,virginia,usa,39,female,0,usa,39,naturalistic,english18.mp3,eng,,,,
19,english,,louisville,kentucky,usa,53,male,0,usa,53,naturalistic,english19.mp3,eng,,,,
2,english,,birmingham,,uk,30,female,0,uk,30,naturalistic,english2.mp3,eng,,,,
20,english,,mt. holly,north carolina,usa,27,female,0,usa,27,naturalistic,english20.mp3,eng,,,,
21,english,,boston,massachusetts,usa,37,female,0,usa,37,naturalistic,english21.mp3,eng,,,,
22,english,,panama city,,panama,25,female,0,usa,5,naturalistic,english22.mp3,eng,,,,
23,english,,englewood,tennessee,usa,43,male,0,usa,43,naturalistic,english23.mp3,eng,,,,
24,english,,glasgow,scotland,uk,37,male,0,"uk,usa",37,naturalistic,english24.mp3,eng,"35 years in scotland, 2 years in usa",,,
25,english,,atlanta,georgia,usa,57,male,0,usa,57,naturalistic,english25.mp3,eng,,,,
26,english,,smith island,maryland,usa,71,male,0,usa,71,naturalistic,english26.mp3,eng,,,,
27,english,,smith island,maryland,usa,37,female,0,usa,37,naturalistic,english27.mp3,eng,,,,
28,english,,toronto,ontario,canada,54,male,0,canada,54,naturalistic,english28.mp3,eng,,,,
29,english,,lindsay,ontario,canada,54,female,0,canada,54,naturalistic,english29.mp3,eng,,,,
3,english,,brisbane,,australia,26,female,0,australia,26,naturalistic,english3.mp3,eng,,,,
30,english,,st. mary's,ontario,canada,30,female,0,canada,30,naturalistic,english30.mp3,eng,,,,
31,english,,st. augustine,,trinidad,31,female,0,"trinidad,usa",31,naturalistic,english31.mp3,eng,"31 years in trinidad, 3 months in usa",,,
32,english,,fresno,california,usa,50,female,0,usa,50,naturalistic,english32.mp3,eng,,,,
33,english,,san diego,california,usa,21,male,0,usa,21,naturalistic,english33.mp3,eng,,,,
34,english,,ronkonkoma,new york,usa,18,female,0,usa,18,naturalistic,english34.mp3,eng,,,,
35,english,,milwaukee,wisconsin,usa,60,female,0,usa,60,naturalistic,english35.mp3,eng,,,,
36,english,,arcadia,wisconsin,usa,60,male,0,usa,60,naturalistic,english36.mp3,eng,,,,
37,english,,yole,,india,28,female,0,usa,7,naturalistic,english37.mp3,eng,,,,
38,english,,littlehampton,,uk,27,male,0,uk,27,naturalistic,english38.mp3,eng,,,,
39,english,,new orleans,louisiana,usa,59,female,0,usa,59,naturalistic,english39.mp3,eng,,,,
4,english,,saint anne's bay,,jamaica,53,female,0,"jamaica,usa",53,naturalistic,english4.mp3,eng,"22 years in jamaica, 31 years in usa",,,
40,english,,dudley,,uk,53,male,0,uk,53,naturalistic,english40.mp3,eng,,,,
41,english,,wellington,,new zealand,44,male,0,new zealand,21,naturalistic,english41.mp3,eng,"21 years in new zealand, 23 years in israel",,,
42,english,,nigel,,south africa,65,male,0,south africa,60,naturalistic,english42.mp3,eng,,,,
43,english,,vancouver,british columbia,canada,47,male,0,canada,47,naturalistic,english43.mp3,eng,,,,
44,english,,winston salem,north carolina,usa,63,female,0,usa,63,naturalistic,english44.mp3,eng,,,,
45,english,,pine bluff,arkansas,usa,52,male,0,usa,52,naturalistic,english45.mp3,eng,,,,
46,english,,creswell,north carolina,usa,73,male,0,usa,73,naturalistic,english46.mp3,eng,,,,
47,english,,plantersville,arkansas,usa,76,female,0,usa,76,naturalistic,english47.mp3,eng,,,,
48,english,,port moresby,national capital district,papua new guinea,26,male,0,"papua new guinea,uk,usa",26,naturalistic,english48.mp3,eng,"24 years in papua new guinea, 1 year in scotland, 1 year in USA",,,
49,english,,castro valley,california,usa,43,male,0,usa,43,naturalistic,english49.mp3,eng,,,,
5,english,,fairfax,virginia,usa,62,male,0,usa,62,naturalistic,english5.mp3,eng,,,,
50,english,,baltic,south dakota,usa,29,female,0,usa,29,naturalistic,english50.mp3,eng,,,,
51,english,,detroit,michigan,usa,67,male,0,usa,67,naturalistic,english51.mp3,eng,,,,
52,english,,calgary,alberta,canada,20,male,0,"canada, usa",20,naturalistic,english52.mp3,eng,"19 years canada, 1 year usa",,,
53,english,,syracuse,new york,usa,63,male,0,usa,63,naturalistic,english53.mp3,eng,,,,
54,english,,new albany,indiana,usa,40,female,0,usa,40,naturalistic,english54.mp3,eng,,,,
55,english,,st. louis,missouri,usa,53,female,0,usa,53,naturalistic,english55.mp3,eng,,,,
56,english,,londonderry,northern ireland,uk,20,male,0,northern ireland,20,naturalistic,english56.mp3,eng,,,,
57,english,,birmingham 1,,uk,34,male,0,"uk,canada",34,naturalistic,english57.mp3,eng,"32 years uk, 2 years canada",,,
58,english,,southhampton,,uk,46,female,0,"uk,usa",16,naturalistic,english58.mp3,eng,,,,
59,english,,columbus,ohio,usa,30,male,0,usa,30,naturalistic,english59.mp3,eng,,,,
6,english,,brooklyn,new york,usa,45,female,0,usa,45,naturalistic,english6.mp3,eng,,,,
60,english,,chesapeake,virginia,usa,18,male,0,usa,18,naturalistic,english60.mp3,eng,,,,
61,english,,toronto,ontario,canada,19,male,0,canada,19,naturalistic,english61.mp3,eng,,,,
62,english,,west jordan,utah,usa,30,male,0,usa,30,naturalistic,english62.mp3,eng,,,,
63,english,,lewisville,texas,usa,21,male,0,usa,21,naturalistic,english63.mp3,eng,,,,
64,english,,montreal,quebec,canada,25,female,0,canada,25,naturalistic,english64.mp3,eng,,,,
65,english,,lewistown,pennsylvania,usa,47,male,0,usa,47,naturalistic,english65.mp3,eng,,,,
66,english,,baltimore,maryland,usa,19,male,0,usa,19,naturalistic,english66.mp3,eng,,,,
67,english,,princeton,indiana,usa,37,male,0,usa,37,naturalistic,english67.mp3,eng,,,,
68,english,,new york,new york,usa,52,male,0,usa,52,naturalistic,english68.mp3,eng,,,,
69,english,,adelaide,,australia,23,male,0,australia,23,naturalistic,english69.mp3,eng,,,,
7,english,,macon,mississippi,usa,52,male,0,usa,52,naturalistic,english7.mp3,eng,,,,
70,english,,beaumont,texas,usa,21,male,0,usa,21,naturalistic,english70.mp3,eng,,,,
71,english,,west covina,california,usa,20,male,0,usa,20,naturalistic,english71.mp3,eng,,,,
72,english,,kilkenny,,ireland,31,male,0,ireland,31,naturalistic,english72.mp3,eng,,,,
73,english,,darwin,,australia,24,male,0,australia,24,naturalistic,english73.mp3,eng,,,,
74,english,,wichita,kansas,usa,21,male,0,usa,21,naturalistic,english74.mp3,eng,,,,
75,english,,idaho falls,idaho,usa,32,male,0,usa,32,naturalistic,english75.mp3,eng,,,,
76,english,,boston,massachusetts,usa,18,female,0,usa,18,naturalistic,english76.mp3,eng,,,,
77,english,,melbourne,,australia,26,male,0,australia,26,naturalistic,english77.mp3,eng,,,,
78,english,,caribou,maine,usa,20,female,0,usa,20,naturalistic,english78.mp3,eng,,,,
79,english,,boston,massachusetts,usa,73,male,0,usa,73,naturalistic,english79.mp3,eng,,,,
8,english,,perth,,australia,21,female,0,"australia,usa",4,naturalistic,english8.mp3,eng,"17 years in australia, 4 years in usa",,,
80,english,,glasgow,scotland,uk,34,male,0,"uk, canada",34,naturalistic,english80.mp3,eng,"32 years scotland, 2 years canada",,,
81,english,,st. paul,minnesota,usa,30,male,0,usa,30,naturalistic,english81.mp3,eng,,,,
82,english,,chicago,illinois,usa,50,female,0,usa,50,naturalistic,english82.mp3,eng,,,,
83,english,,winnfield,louisiana,usa,42,female,0,usa,42,naturalistic,english83.mp3,eng,,,,
84,english,,sydney,,australia,45,male,0,australia,45,naturalistic,english84.mp3,eng,,,,
85,english,,strabane,northern ireland,uk,31,male,0,uk,31,naturalistic,english85.mp3,eng,,,,
86,english,,charleston,south carolina,usa,50,male,0,usa,50,naturalistic,english86.mp3,eng,,,,
87,english,,tamworth,,australia,18,female,0,australia,18,naturalistic,english87.mp3,eng,,,,
88,english,,grand rapids,michigan,usa,18,male,0,usa,18,naturalistic,english88.mp3,eng,,,,
89,english,,kingston ma,massachusetts,usa,18,male,0,usa,18,naturalistic,english89.mp3,eng,,,,
9,english,,carthage,texas,usa,48,female,0,usa,48,naturalistic,english9.mp3,eng,,,,
90,english,,pittsburgh,pennsylvania,usa,53,male,0,usa,53,naturalistic,english90.mp3,eng,,,,
91,english,,kingston,,jamaica,23,male,0,jamaica,23,naturalistic,english91.mp3,eng,,,,
92,english,,wisconsin rapids,wisconsin,usa,22,female,0,usa,22,naturalistic,english92.mp3,eng,,,,
93,english,,mamou,louisiana,usa,22,female,0,usa,22,naturalistic,english93.mp3,eng,,,,
94,english,,pensacola,florida,usa,55,female,0,usa,55,naturalistic,english94.mp3,eng,,,,
95,english,,mishawaka,indiana,usa,18,male,0,usa,18,naturalistic,english95.mp3,eng,,,,
96,english,,point pleasant,new jersey,usa,31,male,0,usa,31,naturalistic,english96.mp3,eng,,,,
97,english,,wilmington nc,north carolina,usa,42,male,0,usa,42,naturalistic,english97.mp3,eng,,,,
98,english,,spokane,washington,usa,22,male,0,usa,22,naturalistic,english98.mp3,eng,,,,
99,english,,pittsburgh,pennsylvania,usa,52,female,0,usa,52,naturalistic,english99.mp3,eng,,,,
1,ewe,,accra,,ghana,25,male,9,usa,12,academic,ewe1.mp3,ewe,,,,
1,fang,,malabo,,equatorial guinea,20,female,11,usa,1,academic,fang1.mp3,fak,,,,
1,fanti,akan,ajumako,,ghana,32,male,6,usa,7,academic,fanti1.mp3,aka,,,,
1,farsi,persian,tehran,,iran,22,male,13,usa,0.6,academic,farsi1.mp3,pes,,,,
2,farsi,persian,esfahan,,iran,34,female,18,usa,1.5,academic,farsi2.mp3,pes,,,,
3,farsi,persian,esfahan,,iran,28,female,14,usa,3,academic,farsi3.mp3,pes,,,,
4,farsi,persian,mazandran,,iran,21,female,15,usa,1.5,academic,farsi4.mp3,pes,,,,
5,farsi,persian,tehran,,iran,43,male,14,usa,22,academic,farsi5.mp3,pes,,,,
6,farsi,persian,tehran,,iran,27,male,9,usa,6,naturalistic,farsi6.mp3,pes, in usa from ages 9-13, and 24-27),,
7,farsi,persian,tehran,,iran,29,male,11,usa,2,academic,farsi7.mp3,pes,,,,
8,farsi,persian,tehran,,iran,29,female,11,usa,1.75,academic,farsi8.mp3,pes,,,,
9,farsi,persian,tehran,,iran,39,male,12,,0,academic,farsi9.mp3,pes,,,,
1,finnish,,lahti,,finland,22,female,9,usa,0.5,academic,finnish1.mp3,fin,,,,
2,finnish,,helsinki,,finland,20,male,7,,0,academic,finnish2.mp3,fin,,,,
1,french,,st. laurent d'onay,,france,20,female,12,usa,0.4,academic,french1.mp3,fra,,,,
2,french,,tunis,,tunisia,19,male,14,usa,0.5,academic,french2.mp3,fra,,,,
3,french,,nice,,france,22,female,11,usa,0.2,academic,french3.mp3,fra,,,,
4,french,,abidjan,,ivory coast,31,female,14,usa,9,academic,french4.mp3,fra,,,,
5,french,,douala,,cameroon,36,female,11,usa,4,academic,french5.mp3,fra,,,,
6,french,,booue,,gabon,26,female,13,usa,1,academic,french6.mp3,fra,,,,
7,french,,rimouski,quebec,canada,18,male,5,canada,18,academic,french7.mp3,fra,,,,
8,french,,ghent,,belgium,66,male,16,,0,academic,french8.mp3,fra,,,,
1,frisian,,akkrum,friesland,netherlands,62,male,13,"usa,canada",27,academic,frisian1.mp3,fri,"13 years canada, 14 years usa",,,
1,georgian,,tbilisi,,republic of georgia,30,female,28,usa,2,academic,georgian1.mp3,kat,,,,
1,german,,dusseldorf,,germany,48,female,12,usa,25,academic,german1.mp3,deu,,,,
2,german,,bemberg,,germany,29,female,12,usa,0.5,academic,german2.mp3,deu,,,,
3,german,,meissen,,germany,19,female,12,usa,0.5,academic,german3.mp3,deu,,,,
4,german,,stuttgart,,germany,19,female,11,usa,0.5,academic,german4.mp3,deu,,,,
5,german,,halle,,germany,47,male,12,usa,0.2,academic,german5.mp3,deu,,,,
6,german,,vienna,,austria,28,male,8,,0,academic,german6.mp3,deu,,,,
1,greek,,athens,,greece,19,male,9,usa,0.25,academic,greek1.mp3,ell,,,,
2,greek,,athens,,greece,26,female,9,usa,1.5,academic,greek2.mp3,ell,,,,
3,greek,,karprenici,,greece,37,female,15,usa,22,academic,greek3.mp3,ell,,,,
1,gujarati,,ahmedabad,,india,20,male,15,usa,0.5,academic,gujarati1.mp3,guj,,,,
2,gujarati,,bombay,,india,22,male,8,usa,0.3,academic,gujarati2.mp3,guj,,,,
3,gujarati,,limerick,,ireland,28,female,2,"india,usa,ireland",3,naturalistic,gujarati3.mp3,guj,"1.5 years in ireland, 23.5 years in india, 3 years in usa",,,
1,gusii,kisii,nairobi,,kenya,44,male,12,usa,15,academic,gusii1.mp3,guz,,,,
1,hebrew,,yehud,,israel,23,male,10,,0,academic,hebrew1.mp3,heb,,,,
2,hebrew,,jerusalem,,israel,24,male,10,,0,academic,hebrew2.mp3,heb,,,,
3,hebrew,,haifa,,israel,33,male,8,usa,1.5,academic,hebrew3.mp3,heb,,,,
4,hebrew,,haifa,,israel,20,female,9,canada,0.5,academic,hebrew4.mp3,heb,,,,
5,hebrew,,netanya,,israel,23,male,10,usa,3,academic,hebrew5.mp3,heb,,,,
1,hindi,hindi-urdu,nagpur,maharashtra,india,27,male,2,"uk,usa",3.5,academic,hindi1.mp3,hin,"LOR is 3 years in the UK, 5 months in the USA",,,
1,xiang,chinese,taipei,,taiwan,50,female,14,usa,30,academic,xiang1.mp3,hsn,,,,
1,hungarian,,cegled,,hungary,22.5,female,20,"uk,usa",1.5,academic,hungarian1.mp3,hun,"1.5 years in uk, 1 month in usa",,,
2,hungarian,,clug,,romania,22,female,8,usa,1,academic,hungarian2.mp3,hun,,,,
3,hungarian,,brasov,,romania,34,male,8,usa,5,academic,hungarian3.mp3,hun,,,,
1,igbo,,imo state,imo state,nigeria,23,female,12,usa,0.4,academic,igbo1.mp3,ibo,,,,
1,indonesian,bahasa indonesia,jakarta,,indonesia,31,male,13,usa,11,academic,indonesian1.mp3,ind,,,,
2,indonesian,bahasa indonesia,jakarta,,indonesia,18,male,13,canada,2.5,academic,indonesian2.mp3,ind,,,,
3,indonesian,bahasa indonesia,jakarta,,indonesia,32,female,13,usa,0.6,academic,indonesian3.mp3,ind,,,,
4,indonesian,bahasa indonesia,jakarta,,indonesia,30,female,10,usa,6.5,academic,indonesian4.mp3,ind,,,,
1,italian,,carbonia,,italy,29,female,22,usa,3.5,academic,italian1.mp3,ita,,,,
2,italian,,caltanissetta,sicily,italy,46,male,18,usa,0.3,academic,italian2.mp3,ita,,,,
3,italian,,florence,,italy,55,male,21,usa,34,academic,italian3.mp3,ita,,,,
4,italian,,cremona,,italy,47,female,11,usa,0.2,academic,italian4.mp3,ita,,,,
1,japanese,,tokyo,,japan,25,female,12,usa,2,academic,japanese1.mp3,jpn,,,,
2,japanese,,tokyo,,japan,27,female,12,usa,1.3,academic,japanese2.mp3,jpn,,,,
3,japanese,,kofu,yamanashi prefecture,japan,49,female,12,usa,3,academic,japanese3.mp3,jpn,,,,
4,japanese,,tokyo,,japan,20,male,15,usa,0.75,academic,japanese4.mp3,jpn,,,,
5,japanese,,chiba,,japan,25,female,12,usa,0.4,academic,japanese5.mp3,jpn,,,,
6,japanese,,kawasaki,,japan,30,female,10,"usa,canada",12,academic,japanese6.mp3,jpn,,,,
7,japanese,,osaka,,japan,18,male,12,,0,academic,japanese7.mp3,jpn,,,,
1,kannada,,bangalore,,india,26,female,5,usa,4,academic,kannada1.mp3,kan,,,,
1,kazakh,,semey,,kazakhstan,18,male,9,,0,academic,kazakh1.mp3,kaz,,,,
1,khmer,,phnom penh,,cambodia,21,female,16,usa,3,academic,khmer1.mp3,khm,,,,
2,khmer,,phnom penh,,cambodia,19,male,16,usa,4,academic,khmer2.mp3,khm,,,,
3,khmer,,baling,kampongthum,cambodia,46,male,25,usa,5.5,academic,khmer3.mp3,khm,,,,
1,kirghiz,kyrghiz,bishkek,,kyrgyzstan,32,female,28,usa,2,academic,kirghiz1.mp3,kir,,,,
1,kiswahili,swahili,dar-es-salaam,,tanzania,22,male,6,usa,0.3,academic,kiswahili1.mp3,swh,,,,
2,kiswahili,swahili,kigoma,,tanzania,28,male,16,usa,0.3,academic,kiswahili2.mp3,swh,,,,
3,kiswahili,swahili,nairobi,,kenya,29,male,6,usa,10,academic,kiswahili3.mp3,swh,,,,
4,kiswahili,swahili,goma,north kivu,democratic republic of congo,36,male,34,usa,1,academic,kiswahili4.mp3,swh,,,,
1,korean,,ui jong bu,,south korea,29,male,13,usa,1.1,academic,korean1.mp3,kor,,,,
2,korean,,taegu,,south korea,23,female,14,usa,0.1,academic,korean2.mp3,kor,,,,
3,korean,,seoul,,south korea,19,female,17,usa,0.6,academic,korean3.mp3,kor,"grew up in argentina, sinc the age of 4; 7 months in the usa",,,
4,korean,,seoul,,south korea,29,female,15,usa,2,academic,korean4.mp3,kor,,,,
5,korean,,seoul,,south korea,50,female,12,usa,23,academic,korean5.mp3,kor,,,,
6,korean,,sunchun,,south korea,21,female,12,,0,academic,korean6.mp3,kor,,,,
7,korean,,seoul,,south korea,32,male,10,usa,23,academic,korean7.mp3,kor,,,,
1,krio,,freetown,,sierra leone,46,female,5,usa,16,academic,krio1.mp3,kri,,,,
1,kurdish,kurdi,arbil,,iraq,24,male,15,usa,1.5,academic,kurdish1.mp3,ckb,,,,
1,lamaholot,,leworook,nusa tenggara,indonesia,30,male,13,usa,0.25,academic,lamaholot1.mp3,slp,,,,
1,lao,,savannakhet,,laos,19,female,12,usa,1,academic,lao1.mp3,lao,,,,
2,lao,,vientiane,laos,,25,female,21,usa,3,academic,lao2.mp3,lao,,,,
1,latvian,,riga,,latvia,24,female,13,usa,0.2,academic,latvian1.mp3,lav,,,,
1,lithuanian,,klaipeda,,lithuania,27,female,24,usa,3,naturalistic,lithuanian1.mp3,lit,,,,
1,luo,dholuo,siaya,,kenya,42,male,12,"uk, usa",2,academic,luo1.mp3,luo,"1 year in UK, 1 year in USA",,,
1,macedonian,,ohrid,,macedonia,19,male,11,usa,2.25,academic,macedonian1.mp3,mkd,,,,
1,malay,,kuala lumpur,,malaysia,28,female,3,usa,10.5,academic,malay1.mp3,zlm,,,,
1,malayalam,,kerala state,kerala state,india,24,male,5,usa,0.7,academic,malayalam1.mp3,mal,,,,
1,mandarin,chinese,shanxi province,shanxi,china,26,female,13,usa,2,academic,mandarin1.mp3,cmn,,,,
2,mandarin,chinese,nanjing,,china,38,female,14,usa,0.8,academic,mandarin2.mp3,cmn,,,,
3,mandarin,chinese,jilin city,jilin,china,43,male,10,usa,14,academic,mandarin3.mp3,cmn,,,,
4,mandarin,chinese,shanghai,,china,24,female,6,usa,1,academic,mandarin4.mp3,cmn,,,,
5,mandarin,chinese,beijing,,china,31,female,12,usa,2,academic,mandarin5.mp3,cmn,,,,
6,mandarin,chinese,le shan,sichuan,china,28,female,12,usa,5,academic,mandarin6.mp3,cmn,,,,
7,mandarin,chinese,berkeley,california,usa,22,male,5,usa,22,naturalistic,mandarin7.mp3,cmn,,,,
1,mandingo,maninkakan,freetown,,sierra leone,36,male,9,usa,3.5,academic,mandingo1.mp3,emk,,,,
1,marathi,,bombay,,india,21,female,3,usa,4,academic,marathi1.mp3,mar,,,,
2,marathi,,madras,,india,28,male,10,usa,0.5,academic,marathi2.mp3,mar,"speaker reports place of birth in erli, madras",,,
1,mauritian,morisyen,port louis,,mauritius,21,male,5,usa,0.2,academic,mauritian1.mp3,mfe,,,,
1,mongolian,khalkha mongol,ulaanbaatar,,mongolia,18,female,15,usa,3,naturalistic,mongolian1.mp3,khk,,,,
2,mongolian,khalkha mongol,ulaanbaatar,,mongolia,22,male,17,usa,0.25,academic,mongolian2.mp3,khk,,,,
1,moore,,tenkodogo,,burkina faso,29,female,12,usa,8,academic,moore1.mp3,mos,,,,
1,mortlockese,,weno,chuuk,federated states of micronesia,21,male,6,usa,3,academic,mortlockese1.mp3,mrl,,,,
1,nepali,,katmandu,,nepal,22,female,5,usa,4,academic,nepali1.mp3,nep,,,,
1,norwegian,,drammen,,norway,33,female,10,usa,0.3,academic,norwegian1.mp3,nor,,,,
2,norwegian,,oslo,,norway,55,female,12,usa,32,academic,norwegian2.mp3,nor,,,,
